"","event_name","primary_act_name","secondary_act_name","major_cat_name","minor_cat_name","la_event_type_cat","event_disp_name","ticket_text","tickets_purchased_qty","trans_face_val_amt","delivery_type_cd","event_dt","event_time","presale_dt","onsale_dt","ord_create_dt","ord_create_time","sales_ord_tran_dt","print_dt","timezn_nm","venue_city_state","venue_postal_cd_sgmt_1","sales_platform_cd","print_flg","la_valid_tkt_event_flg","fin_mkt_nm"
"890","Fast Lane Access: Luis Miguel","Fast Lane Access","NULL","MISC","SPECIAL ENTRY (UPSELL)","UPSELL","Fast Lane Access: Luis Miguel","        FAST LANE                LUIS MIGUEL           THIS IS NOT A TICKET    FAST LANE ENTRANCE ONLY     VERIZON AMPHITHEATER    FRI SEP 07 2012 8:30 PM  ",2,10,"TicketFast",2012-09-08,"03:30:00",NA,2012-06-01,2012-06-06,"16:32:33",2012-06-06,2012-08-29,"PST","IRVINE, CALIFORNIA","92618","www.livenation.com","T ","N ","Los Angeles"
"891","Super Premier Parking : jimmy buffett & the coral reefer band","Shoreline Mountain View Premier Parking","NULL","MISC","PARKING","PARKING","Super Premier Parking : jimmy buffett & the coral reefer band","THIS TICKET IS VALID%FOR PARKING ONLY%GOOD 10/21/08 ONLY%SUPER PREMIER PARKING%SHORELINE AMPHITHEATRE%TUE OCT 21 2008 8:00 PM",1,40,"TicketFast",2008-10-22,"03:00:00",NA,2008-04-14,2008-10-16,"00:00:00",2008-10-16,2008-10-21,"PST","MOUNTAIN VIEW, CALIFORNIA","94043","NULL","T ","N ","N. California"
"892","Phish","Phish","NULL","CONCERTS","ALTERNATIVE ROCK","CONCERTS","Phish","     DOORS AT 6:00PM                PHISH              NO UNAUTH RECORDING     XFINITY CENTER,MANSFIELD  LOTS 3:30PM / DOORS 6PM   FRI JUL 08 2016 7:00 PM  ",2,113,"Mail",2016-07-08,"23:00:00",NA,2016-02-26,2016-02-26,"15:02:01",2016-02-26,NA,"EST","MANSFIELD, MASSACHUSETTS","02048","www.concerts.livenation.com","F ","Y ","Boston"
"893","Family Values-pnc Bank Arts Center Holmdel Premier Parking","PNC Bank Arts Center Holmdel Premier Parking","NULL","MISC","PARKING","PARKING","Family Values-pnc Bank Arts Center Holmdel Premier Parking","THIS TICKET IS VALID%FOR PREMIER PARKING ONLY%GOOD FOR THIS DATE ONLY%PREMIER PARKING PASS%PNC BANK ARTS CENTER%WED AUG 8, 2007 3:00PM",1,30,"Mail",2007-08-08,"19:00:00",NA,2007-04-28,2007-05-01,"00:00:00",2007-04-30,2007-05-03,"EST","HOLMDEL, NEW JERSEY","07733","NULL","T ","N ","New York"
"894","Van Halen","Van Halen","The Kenny Wayne Shepherd Band","CONCERTS","ROCK/POP","CONCERTS","Van Halen","    WWW.VAN-HALEN.COM             VAN HALEN               RAIN OR SHINE          KLIPSCH MUSIC CENTER   NO CAMERAS/RECORDERS/LASER WED SEP 02 2015 7:30 PM  ",2,107,"Mail",2015-09-02,"23:30:00",2015-04-03,2015-04-04,2015-04-04,"14:07:35",2015-04-04,2015-04-15,"CST","NOBLESVILLE, INDIANA","46060","androidphone2.livenation.us","T ","Y ","Indiana-Ohio"
"895","Premier Parking: James Taylor","Ctnow.com Meadows Music Hart. Premier Parking","NULL","MISC","PARKING","PARKING","Premier Parking: James Taylor","PREMIER PARKING RECEIPT%HANG TAG MAILED 10 DAYS%PRIOR TO EVENT%JAMES TAYLOR%CTNOW.COM MEADOWS THEATER%FRI JUN 17 2005 8:00PM",1,20,"Mail",2005-06-18,"00:00:00",NA,2005-04-09,2005-04-09,"00:00:00",2005-04-09,2005-04-20,"EST","HARTFORD, CONNECTICUT","06120","NULL","T ","N ","Boston"
"896","Premier Parking : projekt revolution","Sleep Train Amphitheatre Premier Parking","NULL","MISC","PARKING","PARKING","Premier Parking : projekt revolution","THIS TICKET IS VALID%FOR PARKING ONLY%GOOD 7/27/07 ONLY%PREMIER PARKING%SLEEP TRAIN AMPHITEATRE%FRI JUL 27 2007 12:45 PM",1,20,"TicketFast",2007-07-27,"19:45:00",NA,2007-05-16,2007-07-02,"00:00:00",2007-07-01,2007-07-01,"PST","WHEATLAND, CALIFORNIA","95692","NULL","T ","N ","N. California"
"897","Mmrbq","MMR*B*Q","Disturbed","CONCERTS","ALTERNATIVE ROCK","CONCERTS","Mmrbq","    93.3 WMMR PRESENTS            MMRBQ 2016             ***************            BB&T PAVILION       RAIN OR SHINE*NO REF/EXCH  SAT MAY 21 2016 1:00 PM  ",1,35,"eTicket",2016-05-21,"17:00:00",2016-03-10,2016-01-15,2016-03-04,"20:24:31",2016-03-04,2016-03-04,"EST","CAMDEN, NEW JERSEY","08103","mobile.livenation.us","T ","Y ","Delaware Valley"
"898","Mana: Latino Power Tour 2016","Maná","NULL","CONCERTS","LATIN MUSIC","CONCERTS","Mana: Latino Power Tour 2016","  CHIVAS REGAL PRESENTS              MANA               LATINO POWER TOUR       SAP CENTER AT SAN JOSE   SANTA CLARA & AUTUMN ST.  SAT SEP 17 2016 8:00 PM  ",2,295,"Mail",2016-09-18,"03:00:00",2016-02-17,2016-02-19,2016-02-19,"16:59:11",2016-02-19,2016-02-24,"PST","SAN JOSE, CALIFORNIA","95113","www.ticketmaster.com","T ","Y ","N. California"
"899","Dodge Theatre Parking","Dodge Theatre Parking","The Fray","MISC","PARKING","PARKING","Dodge Theatre Parking","ADAMS STREET GARAGE%GOOD ONLY 7-16-07%DODGE THEATRE PARKING PASS%ENTER AT 4TH AVE & ADAMS%THE FRAY%GARAGE OPENS AT 6:00 PM",1,8,"TicketFast",2007-07-17,"01:30:00",NA,2007-05-05,2007-07-02,"00:00:00",2007-07-02,2007-07-02,"MST","PHOENIX, ARIZONA","85003","NULL","T ","N ","Arizona"
